Timestamp,Person,X,Y,Width,Height,Emotion
80b4ae85-aff7-4794-8b5b-40c2e5e88349,2026-08-15T05:12:52,P4,angry,58.5651,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:49,P4,angry,57.6964,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:49,P4,neutral,95.6555,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:49,P4,angry,41.5563,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:50,P4,happy,85.1897,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:50,P4,neutral,89.9258,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:50,P4,fear,57.0206,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:50,P4,happy,96.5386,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:50,P4,fear,91.3894,137,303,75,75
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:50,P4,sad,45.7373,17,132,79,79
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:51,P4,fear,93.1093,21,117,77,77
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:51,P4,sad,47.9939,29,108,81,81
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:51,P4,happy,95.653,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:51,P4,fear,81.1203,8,124,74,74
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:51,P4,happy,66.746,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:52,P4,neutral,78.7441,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:52,P4,happy,89.065,67,337,73,73
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:52,P4,neutral,58.3331,75,352,77,77
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:52,P4,happy,72.2902,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:53,P4,neutral,99.2769,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:53,P4,fear,53.7287,191,369,80,80
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:53,P4,happy,67.4656,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:53,P4,fear,79.9312,2,188,68,68
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:54,P4,angry,80.3486,33,167,67,67
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:54,P4,fear,92.1228,0,0,639,479
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:54,P4,angry,78.7193,253,367,70,70
8a705599-64cc-41d7-84e9-651fdd62e90c,2026-08-15T05:14:54,P4_2,fear,98.8807,47,166,64,64
